cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=16369
src                   dst                          bytes    idle_ms class
10.0.0.2:33142        10.0.0.3:5201              3971607          0 CS1
10.0.0.2:33156        10.0.0.3:5201              3966943          0 CS1
10.0.0.1:19676        10.0.0.3:9000                 1362       4361 EF
10.0.0.1:10440        10.0.0.3:9000                 1272      13460 EF
10.0.0.1:49052        10.0.0.3:9000                 1206        264 EF
10.0.0.1:22808        10.0.0.3:9000                 1206       6746 EF
10.0.0.1:49192        10.0.0.3:9000                 1194       5400 EF
10.0.0.1:53368        10.0.0.3:9000                 1194      13867 EF
10.0.0.1:50180        10.0.0.3:9000                 1128       7987 EF
10.0.0.1:13808        10.0.0.3:9000                 1128       2065 EF
10.0.0.1:56276        10.0.0.3:9000                 1128      11139 EF
10.0.0.1:32012        10.0.0.3:9000                 1128       6240 EF
10.0.0.1:44256        10.0.0.3:9000                 1128        529 EF
10.0.0.1:40988        10.0.0.3:9000                 1128       5798 EF
10.0.0.1:11424        10.0.0.3:9000                 1128       2164 EF
10.0.0.1:53298        10.0.0.3:9000                 1128         58 EF
10.0.0.1:42238        10.0.0.3:9000                 1128        632 EF
10.0.0.1:56858        10.0.0.3:9000                 1128       2441 EF
10.0.0.1:50092        10.0.0.3:9000                 1128       7991 EF
10.0.0.1:39048        10.0.0.3:9000                 1128       3358 EF
10.0.0.1:52190        10.0.0.3:9000                 1128        110 EF
10.0.0.1:14250        10.0.0.3:9000                 1128       4609 EF
10.0.0.1:48770        10.0.0.3:9000                 1128       8054 EF
10.0.0.1:26388        10.0.0.3:9000                 1128       1433 EF
10.0.0.1:50992        10.0.0.3:9000                 1128       2746 EF
10.0.0.1:54856        10.0.0.3:9000                 1128       5113 EF
10.0.0.1:51882        10.0.0.3:9000                 1128        126 EF
10.0.0.1:11712        10.0.0.3:9000                 1128       7318 EF
10.0.0.1:42252        10.0.0.3:9000                 1128        631 EF
10.0.0.1:25722        10.0.0.3:9000                 1128       1468 EF
