cfg: T1=102400 T2=1048576 idle=50ms enable=1  flows=16295
src                   dst                          bytes    idle_ms class
10.0.0.2:49424        10.0.0.3:5201              4077863        265 CS1
10.0.0.2:49436        10.0.0.3:5201              2136010        154 CS1
10.0.0.2:49376        10.0.0.3:5201              1952058       2281 CS1
10.0.0.2:55482        10.0.0.3:5201              1068276      10663 CS1
10.0.0.2:55546        10.0.0.3:5201              1067478       6981 CS1
10.0.0.2:55576        10.0.0.3:5201               715546       5753 AF31
10.0.0.2:47644        10.0.0.3:5201               590750      14365 AF31
10.0.0.2:49356        10.0.0.3:5201               389144       3299 AF31
10.0.0.2:47620        10.0.0.3:5201               330956      15601 AF31
10.0.0.2:55610        10.0.0.3:5201                46076       4529 EF
10.0.0.2:55422        10.0.0.3:5201                10664      13139 EF
10.0.0.2:55430        10.0.0.3:5201                 7438      13040 EF
10.0.0.2:47652        10.0.0.3:5201                 6056      14365 EF
10.0.0.2:55452        10.0.0.3:5201                 4674      11890 EF
10.0.0.2:55462        10.0.0.3:5201                 4674      11890 EF
10.0.0.2:49404        10.0.0.3:5201                 1646        839 EF
10.0.0.2:55600        10.0.0.3:5201                 1514       4456 EF
10.0.0.1:43234        10.0.0.3:9000                 1284       4868 EF
10.0.0.1:35852        10.0.0.3:9000                 1128       2612 EF
10.0.0.1:42368        10.0.0.3:9000                 1128       7878 EF
10.0.0.1:46320        10.0.0.3:9000                 1128       4683 EF
10.0.0.1:24380        10.0.0.3:9000                 1128        487 EF
10.0.0.1:40202        10.0.0.3:9000                 1128       8005 EF
10.0.0.1:22424        10.0.0.3:9000                 1128        580 EF
10.0.0.1:40552        10.0.0.3:9000                 1128      10747 EF
10.0.0.1:20480        10.0.0.3:9000                 1128       9040 EF
10.0.0.1:44156        10.0.0.3:9000                 1128      13486 EF
10.0.0.1:21218        10.0.0.3:9000                 1128       3384 EF
10.0.0.1:58886        10.0.0.3:9000                 1128       4197 EF
10.0.0.1:55126        10.0.0.3:9000                 1128       7044 EF
